('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         962078 function calls (937808 primitive calls) in 7.619 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
       72    0.000    0.000    1.246    0.017 {method 'readline' of '_io.BufferedReader' objects}
      355    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      216    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
    70/39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 element.py:1764(Tag)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
        1    0.000    0.000    0.000    0.000 response.py:689(HTTPResponse)
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
        1    0.000    0.000    0.054    0.054 css_parser.py:1(<module>)
      516    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        3    0.000    0.000    0.000    0.000 cookiejar.py:466(parse_ns_headers)
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
      534    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       45    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       20    0.000    0.000    0.013    0.001 <frozen importlib._bootstrap_external>:1456(_path_hooks)
       78    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
      195    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      513    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       62    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
       67    0.000    0.000    0.394    0.006 client.py:638(_safe_read)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      325    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      295    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      357    0.000    0.000    0.000    0.000 socket.py:732(readable)
       20    0.000    0.000    0.006    0.000 <frozen zipimport>:64(__init__)
       62    0.000    0.000    0.001    0.000 typing.py:1458(copy_with)
      553    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
    44/32    0.000    0.000    0.008    0.000 css_parser.py:579(parse_pseudo_class)
      271    0.000    0.000    0.400    0.001 response.py:1231(stream)
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      177    0.000    0.000    0.005    0.000 _parser.py:98(closegroup)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
