('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         955271 function calls (930985 primitive calls) in 2.643 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      337    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      214    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
       75    0.000    0.000    0.000    0.000 css_parser.py:542(parse_tag_pattern)
      303    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      353    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      514    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       71    0.000    0.000    1.272    0.018 {method 'readline' of '_io.BufferedReader' objects}
      390    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      354    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 element.py:1764(Tag)
    80/47    0.000    0.000    0.173    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       52    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
      197    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      256    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       74    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      516    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      954    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.237    0.237 financial.py:8(parse_html)
        1    0.000    0.000    0.039    0.039 dammit.py:1(<module>)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
       78    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
      197    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        3    0.000    0.000    0.023    0.008 utils.py:1(<module>)
      216    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
    70/39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      348    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      260    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        3    0.000    0.000    0.000    0.000 cookiejar.py:466(parse_ns_headers)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      164    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      195    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
       45    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
      534    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       62    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      325    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      553    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
        1    0.000    0.000    0.000    0.000 response.py:689(HTTPResponse)
      295    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      214    0.000    0.000    0.000    0.000 _virtualenv.py:53(find_spec)
       20    0.000    0.000    0.006    0.000 <frozen zipimport>:64(__init__)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       20    0.000    0.000    0.013    0.001 <frozen importlib._bootstrap_external>:1456(_path_hooks)
    44/32    0.000    0.000    0.008    0.000 css_parser.py:579(parse_pseudo_class)
        1    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
       62    0.000    0.000    0.001    0.000 typing.py:1458(copy_with)
      404    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
      177    0.000    0.000    0.005    0.000 _parser.py:98(closegroup)
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      263    0.000    0.000    0.414    0.002 response.py:1231(stream)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
      206    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
      513    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
        1    0.000    0.000    0.053    0.053 css_parser.py:1(<module>)
      116    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.009    0.005 request.py:1(<module>)
       20    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap_external>:1644(_fill_cache)
       64    0.000    0.000    0.408    0.006 client.py:638(_safe_read)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        5    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
      350    0.000    0.000    0.000    0.000 socket.py:732(readable)
       70    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
      168    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        1    0.000    0.000    0.006    0.006 pathlib.py:812(PureWindowsPath)
        1    0.000    0.000    0.008    0.008 css_match.py:1(<module>)
      258    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      340    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
       21    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
      263    0.000    0.000    0.414    0.002 models.py:816(generate)
       66    0.000    0.000    0.001    0.000 typing.py:885(__init__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       42    0.000    0.000    0.408    0.010 response.py:1346(_handle_chunk)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
      204    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
       79    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
        2    0.000    0.000    0.044    0.022 connection.py:1(<module>)
      217    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       77    0.000    0.000    0.002    0.000 _htmlparser.py:127(handle_startendtag)
        2    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
    40/31    0.000    0.000    0.007    0.000 css_parser.py:746(parse_pseudo_open)
      129    0.000    0.000    0.000    0.000 typing.py:1454(<genexpr>)
       58    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
       57    0.000    0.000    0.000    0.000 parser.py:124(set_cdata_mode)
      423    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
    81/55    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
      263    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       20    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
        7    0.000    0.000    0.002    0.000 typing.py:2761(_make_nmtuple)
        8    0.000    0.000    0.000    0.000 feedparser.py:216(_parsegen)
    29/16    0.000    0.000    0.254    0.016 {built-in method builtins.__import__}
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
  186/184    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      2/1    0.000    0.000    1.904    1.904 sessions.py:673(send)
      700    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
      195    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
       13    0.000    0.000    0.000    0.000 <frozen _collections_abc>:974(update)
      233    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        2    0.000    0.000    1.273    0.637 connection.py:540(getresponse)
      288    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
       27    0.000    0.000    0.001    0.000 typing.py:740(Optional)
        2    0.000    0.000    1.187    0.593 client.py:296(_read_status)
      413    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        3    0.000    0.000    0.046    0.015 response.py:1(<module>)
