Sat Feb  7 17:53:32 2026    profile_http.prof

         415863 function calls (393293 primitive calls) in 0.492 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      322    0.000    0.000    0.000    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_parser.py:248(css_unescape)
      469    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      296    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      193    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:231(__init__)
       89    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:262(_collect_parameters)
       38    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      199    0.000    0.000    0.001    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_types.py:360(__init__)
       78    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:274(getuntil)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
       87    0.000    0.000    0.000    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
        1    0.000    0.000    0.101    0.101 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/httpx/_models.py:1(<module>)
      160    0.000    0.000    0.173    0.001 <frozen importlib._bootstrap_external>:1520(find_spec)
        1    0.000    0.000    0.001    0.001 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/typing_extensions.py:1(<module>)
      125    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1178(__getattr__)
      384    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:570(isstring)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.12/tokenize.py:1(<module>)
      257    0.000    0.000    0.084    0.000 /usr/lib/python3.12/re/__init__.py:226(compile)
        1    0.000    0.000    0.002    0.002 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/httpx/_urlparse.py:1(<module>)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       75    0.000    0.000    0.000    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_parser.py:542(parse_tag_pattern)
      185    0.000    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      437    0.000    0.000    0.000    0.000 /usr/lib/python3.12/socket.py:79(<lambda>)
      943    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.081    0.081 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/bs4/dammit.py:1(<module>)
      183    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      440    0.000    0.000    0.000    0.000 /usr/lib/python3.12/socket.py:94(<lambda>)
      122    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      178    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:785(__delattr__)
      278    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
      135    0.000    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      438    0.000    0.000    0.000    0.000 /usr/lib/python3.12/socket.py:84(<lambda>)
      439    0.000    0.000    0.000    0.000 /usr/lib/python3.12/socket.py:89(<lambda>)
      341    0.000    0.000    0.003    0.000 {built-in method builtins.next}
       76    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      161    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      424    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      602    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1252(__eq__)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.12/contextlib.py:272(contextmanager)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
  167/101    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1573(__hash__)
      666    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      416    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:1185(__init__)
       14    0.000    0.000    0.000    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/bs4/_deprecation.py:67(deprecate)
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       27    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1096(_generic_init_subclass)
  269/176    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1258(__hash__)
       77    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:1458(copy_with)
      185    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      193    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:953(fix_flags)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1966(__init_subclass__)
       34    0.000    0.000    0.000    0.000 /usr/lib/python3.12/functools.py:65(wraps)
     1250    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      234    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      118    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:251(__init__)
       28    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:1008(_find_data_type_)
      273    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.12/dis.py:1(<module>)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.12/socket.py:1(<module>)
      469    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      183    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
    52/40    0.000    0.000    0.093    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      175    0.000    0.000    0.005    0.000 /usr/lib/python3.12/re/_parser.py:98(closegroup)
       34    0.000    0.000    0.000    0.000 /usr/lib/python3.12/ipaddress.py:1651(_ip_int_from_string)
    44/32    0.000    0.000    0.008    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_parser.py:579(parse_pseudo_class)
      213    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:723(<genexpr>)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:2780(__new__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/threading.py:871(Thread)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:195(_write_atomic)
        1    0.000    0.000    0.065    0.065 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_parser.py:1(<module>)
      360    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1565(__eq__)
      318    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       79    0.000    0.000    0.001    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_types.py:267(__init__)
      512    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1246(<genexpr>)
       88    0.000    0.000    0.000    0.000 /usr/lib/python3.12/ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/quoprimime.py:1(<module>)
       52    0.000    0.000    0.000    0.000 /usr/lib/python3.12/functools.py:518(decorating_function)
        1    0.000    0.000    0.005    0.005 /usr/lib/python3.12/inspect.py:1(<module>)
      326    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      157    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       34    0.000    0.000    0.000    0.000 /usr/lib/python3.12/ipaddress.py:2238(__init__)
      136    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      183    0.000    0.000    0.000    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/_virtualenv.py:53(find_spec)
      414    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
    40/31    0.000    0.000    0.008    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_parser.py:746(parse_pseudo_open)
      183    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
  142/137    0.000    0.000    0.001    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_parser.py:385(_freeze_relations)
      234    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       44    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1439(__init__)
       24    0.000    0.000    0.000    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/util.py:16(lower)
      234    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       14    0.000    0.000    0.013    0.001 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.12/ast.py:1(<module>)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.12/ssl.py:1(<module>)
       14    0.000    0.000    0.009    0.001 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      136    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/__init__.py:255(escape)
      234    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:31(_combine_flags)
      178    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      193    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:77(__init__)
      345    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:935(__eq__)
        1    0.000    0.000    0.229    0.229 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/httpx/__init__.py:1(<module>)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        1    0.000    0.000    0.007    0.007 /usr/lib/python3.12/logging/__init__.py:1(<module>)
      157    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       49    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
